WB_id,public_name,logFC
WBGene00006562,tdc-1,0.419471086
WBGene00020199,T03G11.6,0.419389381
WBGene00001058,dpf-5,0.419063146
WBGene00000963,dhp-1,0.419006237
WBGene00016913,lam-2,0.418685483
WBGene00010459,K01C8.7,0.418601932
WBGene00015397,nhr-149,0.418592468
WBGene00003859,oig-1,0.418584924
WBGene00007943,C34F6.9,0.418459215
WBGene00019235,H23N18.4,0.418125402
WBGene00001498,fars-3,0.418068195
WBGene00015177,B0416.1,0.417674699
WBGene00050939,C05G5.7,0.417538369
WBGene00000955,des-2,0.417499182
WBGene00004993,spp-8,0.41732449
WBGene00016968,epg-5,0.417055728
WBGene00019509,K07H8.9,0.416843544
WBGene00003827,ntl-4,0.416585709
WBGene00016149,C26F1.6,0.416451224
WBGene00007413,pro-2,0.416276297
WBGene00018470,F45E4.5,0.416114196
WBGene00012373,W09H1.3,0.416021436
WBGene00010848,M04B2.6,0.415915646
WBGene00004926,snt-6,0.415886984
WBGene00018739,F53B1.8,0.415872453
WBGene00009619,F41E7.3,0.415705738
WBGene00009138,F25H9.6,0.415698355
WBGene00004788,sft-4,0.4156919
WBGene00201680,K06A1.10,0.415584158
WBGene00020725,cnp-3,0.415413593
WBGene00007877,C33A11.1,0.415365209
WBGene00018009,F33D11.12,0.415244436
WBGene00017514,F16F9.3,0.41520382
WBGene00008028,scl-6,0.415095409
WBGene00008776,F13H10.5,0.414705955
WBGene00003168,mec-4,0.414687751
WBGene00001065,dpy-3,0.4143957
WBGene00020086,R106.2,0.414072601
WBGene00001640,gly-15,0.414031164
WBGene00002092,ins-9,0.414031164
WBGene00009001,tyr-3,0.414031164
WBGene00011686,T10C6.2,0.414031164
WBGene00195528,K08B5.3,0.414031164
WBGene00200784,K06A1.9,0.414031164
WBGene00013668,Y105E8A.3,0.413907888
WBGene00196611,F40F9.14,0.413851244
WBGene00006933,vps-35,0.413768968
WBGene00006319,sup-10,0.413708442
WBGene00008639,F10B5.2,0.413660544
WBGene00002889,let-765,0.413576092
WBGene00010221,F57G12.1,0.413519417
WBGene00007878,C33A11.2,0.413502319
WBGene00001368,exc-7,0.413212669
WBGene00020943,W02D7.8,0.413177468
WBGene00011275,R53.6,0.413101425
WBGene00018682,aagr-4,0.413089606
WBGene00044681,T24C4.8,0.41279998
WBGene00016874,C52B11.5,0.412781293
WBGene00007982,pxd-1,0.412706347
WBGene00001515,gap-1,0.412455349
WBGene00005541,sri-29,0.412419771
WBGene00018411,F44B9.10,0.412082901
WBGene00003401,mpk-1,0.411944828
WBGene00015504,C06A5.6,0.411817674
WBGene00009985,F53F4.1,0.411473526
WBGene00000113,alh-7,0.411418299
WBGene00009923,F52B5.7,0.411293568
WBGene00019132,bath-19,0.4108715
WBGene00010504,K02D3.1,0.410742924
WBGene00017536,F17A9.4,0.410366684
WBGene00003756,nlp-18,0.410220518
WBGene00077441,C43D7.10,0.409944013
WBGene00003170,mec-6,0.409732402
WBGene00000750,col-177,0.409656064
WBGene00021039,W05F2.7,0.409285198
WBGene00008730,F13B12.2,0.409234729
WBGene00005586,sri-74,0.409229848
WBGene00010986,sprr-1,0.409215173
WBGene00004273,rab-10,0.408652248
WBGene00009899,F49E12.6,0.40858675
WBGene00004214,ptp-2,0.408362974
WBGene00007221,cpna-3,0.408268043
WBGene00011075,R07A4.4,0.408259891
WBGene00017663,F21D12.3,0.408121646
WBGene00010283,ccz-1,0.408110803
WBGene00008999,F21A10.2,0.407993835
WBGene00017530,F16H11.1,0.407939585
WBGene00020420,T10E10.3,0.407794293
WBGene00011953,T23F11.1,0.407588594
WBGene00007235,C01G10.8,0.407514099
WBGene00009291,clec-264,0.407327068
WBGene00008354,D1025.2,0.406994343
WBGene00010702,usp-33,0.406664128
WBGene00012016,T25B9.10,0.406653288
WBGene00016144,mmab-1,0.406639144
WBGene00003084,lst-2,0.406467718
WBGene00001365,exc-4,0.406254711
WBGene00016239,C30A5.4,0.406101602
WBGene00005641,sro-1,0.406091757
WBGene00012334,W07G1.7,0.406068155
WBGene00004110,pqn-20,0.405459806
WBGene00013689,bath-40,0.405420707
WBGene00004129,pqn-42,0.405344315
WBGene00012293,W06A7.4,0.405319056
WBGene00016418,C34G6.1,0.405308037
WBGene00009100,rgef-1,0.40526302
WBGene00000703,col-129,0.404922886
WBGene00001102,dsh-2,0.404351268
WBGene00006958,wve-1,0.403912204
WBGene00020107,R151.2,0.403764906
WBGene00008922,F17C11.11,0.403452621
WBGene00004786,sex-1,0.403195669
WBGene00020052,R13A5.10,0.403081683
WBGene00001550,gcy-27,0.40302516
WBGene00008570,kcnl-2,0.40296493
WBGene00001747,gsp-1,0.402821019
WBGene00012372,W09H1.1,0.402545604
WBGene00010830,M02G9.1,0.402296935
WBGene00010527,srz-74,0.401740295
WBGene00018711,F52G3.3,0.401740295
WBGene00001174,egl-5,0.401531189
WBGene00018402,F44A2.2,0.401500608
WBGene00000770,cpb-1,0.401298332
WBGene00008224,C50B8.1,0.40119873
WBGene00020068,cra-1,0.400847017
WBGene00001237,elc-2,0.400765203
WBGene00000110,alh-4,0.40073153
WBGene00003172,mec-8,0.40061615
WBGene00009727,lips-1,0.400425402
WBGene00020585,clec-178,0.400397081
WBGene00010259,F58E10.1,0.400325847
WBGene00009799,lgc-47,0.400256507
WBGene00016507,C37H5.3,0.400167627
WBGene00000405,cdk-1,0.400164336
WBGene00010223,F58A3.3,0.400028647
WBGene00010742,K10D6.2,0.399520924
WBGene00016794,C49H3.9,0.399397693
WBGene00003497,mup-4,0.399211923
WBGene00019404,K05B2.4,0.399004441
WBGene00019212,H19M22.3,0.398954622
WBGene00019797,fbxb-31,0.398919321
WBGene00044021,R02E4.2,0.398848128
WBGene00017362,F10G2.1,0.398520044
WBGene00001526,gck-1,0.397927924
WBGene00009373,F34D10.3,0.397832949
WBGene00012341,catp-6,0.397618884
WBGene00007240,C01G10.15,0.397210103
WBGene00007049,tag-191,0.397142514
WBGene00017273,gos-28,0.397066648
WBGene00011032,R05D11.4,0.396873409
WBGene00018585,F48A11.4,0.396846485
WBGene00016927,nhr-172,0.396615215
WBGene00001209,egl-45,0.396335814
WBGene00012322,W07A12.4,0.396262151
WBGene00003742,nlp-4,0.396191576
WBGene00001078,dpy-19,0.396100445
WBGene00007212,BE10.4,0.396058994
WBGene00013751,Y113G7A.14,0.396043793
WBGene00009006,F21D5.1,0.395974194
WBGene00006640,tsp-14,0.395688494
WBGene00015074,B0238.10,0.395650105
WBGene00009496,F36H1.11,0.395263493
WBGene00006527,tax-6,0.395209222
WBGene00003523,nas-4,0.394994001
WBGene00011534,T06E4.7,0.394978129
WBGene00023065,F53F10.6,0.394446455
WBGene00015339,C02E7.6,0.394391343
WBGene00010446,K01A6.4,0.394310473
WBGene00017013,D1009.3,0.394029627
WBGene00003048,lit-1,0.393807569
WBGene00018293,F41E6.12,0.393745416
WBGene00001580,gex-3,0.393650781
WBGene00011475,T05D4.2,0.39352655
WBGene00044698,K09F5.6,0.393017065
WBGene00015494,C05E11.3,0.392995814
WBGene00009959,F53B6.4,0.392965925
WBGene00000289,cam-1,0.392916621
WBGene00000238,bar-1,0.392690008
WBGene00020682,T22D1.3,0.392603996
WBGene00014837,T09F5.13,0.39249409
WBGene00006575,tir-1,0.392368486
WBGene00020195,T03G6.3,0.392314531
WBGene00011141,R08B4.5,0.392136194
WBGene00044792,F59C6.14,0.392030452
WBGene00167726,21ur-11363,0.391449116
WBGene00018616,F48G7.5,0.391300464
WBGene00020453,fbxa-55,0.391269824
WBGene00003378,mml-1,0.391043937
WBGene00011136,R08A2.5,0.390853019
WBGene00015686,C10G11.6,0.390845221
WBGene00017758,F23H11.2,0.390817069
WBGene00017012,acs-22,0.390622422
WBGene00005326,srh-107,0.390447414
WBGene00003249,F11F1.6,0.390348618
WBGene00045291,F23D12.10,0.390312444
WBGene00005131,srd-53,0.389948933
WBGene00019599,K09H11.1,0.389937552
WBGene00015565,C07D8.6,0.389475169
WBGene00020690,T22E5.1,0.389052404
WBGene00005078,src-2,0.388860539
WBGene00007485,C09G1.3,0.38885544
WBGene00004420,rpl-9,0.388818816
WBGene00016824,C50E3.13,0.388777539
WBGene00011235,R11A5.7,0.388498026
WBGene00020399,ztf-4,0.388336147
WBGene00013761,Y113G7B.11,0.388328406
WBGene00015729,C13A10.2,0.388327055
WBGene00016883,C52E2.4,0.387992033
WBGene00000111,alh-5,0.387969524
WBGene00077761,F17C11.17,0.387827455
WBGene00019355,K03B4.4,0.387736136
WBGene00010298,F59A1.12,0.387633315
WBGene00000678,col-104,0.387486925
WBGene00000532,clh-5,0.38747161
WBGene00011106,acl-5,0.387212432
WBGene00006027,srx-136,0.387151536
WBGene00017741,F23C8.13,0.387147793
WBGene00015371,C03A7.13,0.387109353
WBGene00006626,tsn-1,0.386816096
WBGene00011317,T01C1.4,0.386541751
WBGene00011433,pde-1,0.386490204
WBGene00012316,W06H3.3,0.386390895
WBGene00001748,gsp-2,0.386336603
WBGene00020273,T05H4.10,0.386131562
WBGene00018533,F47B7.2,0.386128473
WBGene00019823,fnta-1,0.38601684
WBGene00012280,W05E10.1,0.385800199
WBGene00019829,R02E12.5,0.385703801
WBGene00003527,nas-8,0.385668943
WBGene00007135,cdtl-7,0.385657821
WBGene00003998,pgp-4,0.385652247
WBGene00015618,C08G5.6,0.385597162
WBGene00015033,B0207.10,0.385587161
WBGene00020641,fbxa-68,0.385499938
WBGene00008073,C43F9.5,0.385466476
WBGene00005313,srh-92,0.385356794
WBGene00006689,twk-37,0.385356794
WBGene00008090,C44C10.10,0.385356794
WBGene00011549,T06G6.8,0.385356794
WBGene00012304,cutl-4,0.385356794
WBGene00016185,C28F5.4,0.385356794
WBGene00017560,F18C5.5,0.385356794
WBGene00019089,clec-206,0.385356794
WBGene00019817,R02C2.6,0.385356794
WBGene00048170,21ur-1207,0.385356794
WBGene00170459,21ur-14827,0.385356794
WBGene00195358,B0507.13,0.385356794
WBGene00195883,K02B12.10,0.385356794
WBGene00196414,B0034.8,0.385356794
WBGene00197144,F38H4.12,0.385356794
WBGene00197215,F57A8.9,0.385356794
WBGene00197265,M195.6,0.385356794
WBGene00197814,F54A3.9,0.385356794
WBGene00200203,D2092.13,0.385356794
WBGene00200375,T24H10.11,0.385356794
WBGene00010516,K02E11.7,0.385154385
WBGene00004414,rpl-3,0.385095138
WBGene00011963,T23G5.3,0.385075195
WBGene00019851,oac-41,0.385011461
WBGene00018766,F53G2.1,0.384987688
WBGene00016074,C24H12.5,0.384811791
WBGene00007957,C35C5.8,0.384701907
WBGene00015943,tiar-1,0.384684334
WBGene00016979,C56G2.4,0.384655102
WBGene00003689,nhr-99,0.384315025
WBGene00003805,npp-19,0.384312031
WBGene00012190,W02A2.5,0.384300245
WBGene00020433,T11F8.1,0.384148417
WBGene00016514,C38C3.6,0.383902357
WBGene00008172,C48B4.9,0.383702293
WBGene00018364,F42G9.6,0.383619332
WBGene00020831,T26C12.1,0.383605049
WBGene00044987,K07A1.17,0.383436008
WBGene00007978,C36B1.11,0.383381542
WBGene00022418,Y102A11A.8,0.383319086
WBGene00015634,C09D4.3,0.382627101
WBGene00010631,cash-1,0.382487443
WBGene00016188,sec-15,0.382296725
WBGene00007841,C31C9.7,0.382044445
WBGene00002207,kin-25,0.382043939
WBGene00004146,pqn-63,0.381795594
WBGene00016489,C36E6.1,0.381651239
WBGene00006833,unc-108,0.3815202
WBGene00017980,F32B5.7,0.381384916
WBGene00045357,F13A7.14,0.381369859
WBGene00006437,mrck-1,0.381144854
WBGene00020038,R12E2.13,0.381142155
WBGene00001513,gad-1,0.38103312
WBGene00016508,C37H5.5,0.380958962
WBGene00019742,nhr-202,0.380915045
WBGene00017961,nhr-180,0.380579634
WBGene00077613,F21H7.16,0.380547109
WBGene00008061,C41G7.3,0.380498048
WBGene00010738,K10D3.4,0.380432779
WBGene00019912,R06B10.1,0.380402722
WBGene00010345,F59F5.7,0.379559803
WBGene00004732,sax-7,0.379517097
WBGene00003858,ogt-1,0.379208823
WBGene00021068,W06H8.6,0.379196167
WBGene00004755,sec-24.1,0.379034463
WBGene00008173,C48B4.10,0.378591609
WBGene00004801,sir-2.2,0.378561417
WBGene00003879,ora-1,0.37849861
WBGene00007764,C27B7.7,0.378422819
WBGene00016061,C24G6.6,0.378324868
WBGene00001168,eef-1A.1,0.378254178
WBGene00007511,C10C5.7,0.377888182
WBGene00003729,nhx-1,0.377809436
WBGene00019209,H17B01.4,0.377804171
WBGene00011791,T15H9.6,0.377577713
WBGene00043996,fbxb-87,0.377333008
WBGene00004425,rpl-13,0.3771663
WBGene00007542,C12D8.15,0.37701654
WBGene00015456,C04G6.6,0.376961698
WBGene00011760,T13H5.6,0.376603192
WBGene00006910,vha-1,0.376556372
WBGene00018282,F41D9.2,0.37637876
WBGene00002151,irk-3,0.376277307
WBGene00011454,T05A1.3,0.376125799
WBGene00018091,F36D4.6,0.375782977
WBGene00007439,C08E8.3,0.375612622
WBGene00018716,F52H2.4,0.375436261
WBGene00005638,srm-1,0.375433457
WBGene00015303,rga-6,0.374802703
WBGene00195257,W01A8.10,0.374469348
WBGene00010769,asah-1,0.374020222
WBGene00007048,tag-182,0.373998216
WBGene00007464,C08H9.3,0.37393606
WBGene00011885,T21B10.3,0.373631483
WBGene00020130,igcm-2,0.373519004
WBGene00008468,E03G2.1,0.373506801
WBGene00015698,kca-1,0.373447017
WBGene00004339,rfc-3,0.373317261
WBGene00008670,F11A3.2,0.373229162
WBGene00000105,alg-1,0.373187524
WBGene00045339,T10H4.13,0.373164991
WBGene00020697,T22F3.7,0.373016212
WBGene00002146,ipp-5,0.372803563
WBGene00000213,asm-3,0.37272193
WBGene00045139,F01D5.12,0.3727133
WBGene00013822,Y116F11B.6,0.372531713
WBGene00017157,tyra-2,0.372464642
WBGene00020758,T24C4.2,0.372423705
WBGene00017951,F31E3.4,0.372363654
WBGene00007428,C08B6.7,0.372319452
WBGene00018569,F47F2.1,0.372225621
WBGene00011661,ztf-27,0.372058658
WBGene00017369,F10G7.5,0.371477847
WBGene00018702,F52E4.5,0.371430748
WBGene00018161,F38A5.2,0.371292326
WBGene00020553,T19A5.1,0.371081735
WBGene00009881,F49C12.12,0.371024385
WBGene00017807,F26A1.9,0.370906887
WBGene00010225,ttr-31,0.370819336
WBGene00018103,F36H5.4,0.370486331
WBGene00007607,C15C8.5,0.370159931
WBGene00020911,cpt-6,0.369857437
WBGene00017892,F28B4.3,0.369836076
WBGene00018713,F52G3.5,0.369558884
WBGene00008807,F14F3.4,0.369354179
WBGene00002212,kin-31,0.369080135
WBGene00006369,sym-4,0.368361961
WBGene00008259,C52E4.7,0.368273769
WBGene00017775,F25B5.3,0.368102174
WBGene00000964,dhp-2,0.368040457
WBGene00008107,aspm-1,0.367959109
WBGene00010064,F54F7.2,0.367951565
WBGene00015128,B0303.7,0.367802173
WBGene00001456,flp-13,0.367743584
WBGene00018007,F33D11.10,0.367502698
WBGene00044618,bus-2,0.367458841
WBGene00010912,M106.4,0.367256179
WBGene00000004,aat-3,0.366655984
WBGene00016759,C49A9.5,0.366603609
WBGene00201301,C10F3.15,0.36652275
WBGene00009484,F36G3.3,0.366493046
WBGene00006529,tba-2,0.36638281
WBGene00011326,T01D3.1,0.366200931
WBGene00005474,srh-268,0.365841034
WBGene00045486,K05F6.12,0.365592718
WBGene00010331,F59D12.3,0.365573354
WBGene00009841,fbxa-134,0.365265826
WBGene00009614,F41D3.9,0.365029456
WBGene00011634,T09A5.5,0.365021781
WBGene00003020,lin-35,0.364988725
WBGene00018798,gnrr-1,0.364830284
WBGene00006687,twk-35,0.364827859
WBGene00000452,ceh-31,0.364527072
WBGene00007191,lgc-20,0.364394998
WBGene00007652,C17G1.5,0.363965951
WBGene00015697,C10H11.8,0.363926145
WBGene00019996,R10F2.5,0.363737365
WBGene00015512,C06A8.1,0.363672647
WBGene00003609,nhr-10,0.363579589
WBGene00003602,nhr-3,0.363530503
WBGene00018953,F56C9.10,0.363423243
WBGene00012139,T28F4.4,0.363356429
WBGene00016518,C38C5.1,0.363300279
WBGene00019169,H06I04.5,0.363222476
WBGene00020236,lgc-1,0.362993427
WBGene00019228,H23L24.1,0.36295461
WBGene00008017,fbxa-176,0.362950642
WBGene00016059,C24G6.2,0.362592212
WBGene00016340,C33C12.8,0.362428639
WBGene00017962,fbxa-72,0.362381431
WBGene00004484,rps-15,0.362365824
WBGene00001184,egl-15,0.362309517
WBGene00010451,K01A11.3,0.362245725
WBGene00004424,rpl-12,0.361863033
WBGene00010192,F57B7.2,0.361854991
WBGene00003976,pes-1,0.361526656
WBGene00020761,T24C4.5,0.361453871
WBGene00011794,T16A9.4,0.361361306
WBGene00021042,btb-5,0.361332597
WBGene00008785,F14B6.4,0.361311192
WBGene00004951,spc-1,0.361307151
WBGene00005021,sqv-3,0.361160373
WBGene00020563,T19C3.5,0.361090487
WBGene00006647,tsr-1,0.360970555
WBGene00001331,erd-2,0.360923015
WBGene00008841,F15A4.6,0.360780355
WBGene00015952,C18B2.1,0.360615521
WBGene00005145,srd-68,0.36045372
WBGene00006162,str-111,0.36045372
WBGene00010621,K07A12.2,0.360356561
WBGene00007584,C14C10.1,0.360231353
WBGene00003012,lin-26,0.360122255
WBGene00011665,T09F5.1,0.360085718
WBGene00044705,T22F3.12,0.360011615
WBGene00011238,ugt-59,0.359965766
WBGene00015903,C17E7.9,0.359419817
WBGene00010448,K01A6.6,0.359280303
WBGene00010428,dcn-1,0.359211237
WBGene00016889,C52E12.4,0.359043818
WBGene00010620,K07A12.1,0.359017
WBGene00001358,evl-20,0.358695397
WBGene00002076,imb-2,0.357814243
WBGene00016199,C28H8.8,0.357729292
WBGene00017866,stn-2,0.35769774
WBGene00019924,fbxc-33,0.357572115
WBGene00011302,R166.2,0.357432658
WBGene00002203,kin-20,0.357365041
WBGene00018254,F40H6.2,0.357327908
WBGene00005257,srh-34,0.357215799
WBGene00006914,vha-5,0.357159706
WBGene00008128,srab-12,0.35704845
WBGene00000488,inx-4,0.356925889
WBGene00001660,gop-1,0.35684452
WBGene00009806,F47B8.5,0.356743929
WBGene00000284,cah-6,0.356666685
WBGene00017653,F21C10.3,0.35609999
WBGene00019458,K06H7.7,0.356002787
WBGene00000972,dhs-8,0.355878316
WBGene00006474,wdr-5,0.355770429
WBGene00010112,nhr-191,0.355686156
WBGene00003136,mau-2,0.355592451
WBGene00011559,umps-1,0.355522474
WBGene00011273,R53.4,0.35548286
WBGene00008926,F17H10.2,0.355458863
WBGene00017211,fbxb-36,0.355292954
WBGene00009284,F31C3.2,0.355229467
WBGene00015935,C17H12.10,0.355065451
WBGene00008848,inft-2,0.354977859
WBGene00009679,F44D12.2,0.354796692
WBGene00004749,sdn-1,0.354791772
WBGene00044767,T23B7.3,0.35472872
WBGene00006059,stc-1,0.354688831
WBGene00007282,clec-223,0.354634587
WBGene00005982,srx-91,0.354608111
WBGene00000991,dhs-28,0.354552232
WBGene00002053,ifb-1,0.35447992
WBGene00001984,hog-1,0.354439749
WBGene00007908,C34B4.3,0.354161961
WBGene00000295,cat-1,0.353840408
WBGene00009726,tbc-13,0.353795459
WBGene00016373,swd-2.1,0.353569591
WBGene00003626,nhr-32,0.353365431
WBGene00194986,T27F7.4,0.353354894
WBGene00020136,T01B6.4,0.353307648
WBGene00016371,C33H5.2,0.353206894
WBGene00011678,T10B9.9,0.35279036
WBGene00010741,lgc-49,0.35270059
WBGene00019994,cdh-1,0.352464277
WBGene00020844,T27A10.2,0.352447104
WBGene00010732,K10C3.5,0.352421323
WBGene00011312,T01B7.6,0.352326134
WBGene00019900,R05G6.7,0.352285108
WBGene00015535,C06E4.6,0.352181346
WBGene00008615,F09C6.1,0.352159152
WBGene00007651,nra-3,0.352041986
WBGene00020464,T12E12.3,0.351790859
WBGene00003094,lys-5,0.351734908
WBGene00017868,F27E11.2,0.351708884
WBGene00007457,C08F11.10,0.351703051
WBGene00013785,Y116A8C.4,0.351703051
WBGene00021052,W06A11.1,0.351703051
WBGene00009620,fip-5,0.351616746
WBGene00000109,alh-3,0.351503261
WBGene00015714,C12D12.3,0.35139758
WBGene00010882,atg-7,0.351362335
WBGene00009352,F33A8.4,0.351359408
WBGene00001107,dsl-5,0.351205589
WBGene00003915,pan-1,0.351200365
WBGene00008914,F17C11.2,0.350990766
WBGene00008743,F13D12.9,0.350849728
WBGene00008480,E04D5.1,0.350845102
WBGene00000959,dgk-2,0.350606559
WBGene00004198,prx-13,0.350599696
WBGene00016115,mdt-26,0.350492354
WBGene00001251,elt-3,0.350469568
WBGene00000071,acy-4,0.350408128
WBGene00010232,F58B3.6,0.350072857
WBGene00009700,F44F4.1,0.349768701
WBGene00017939,F31A3.5,0.349603302
WBGene00045457,F33H12.7,0.349597329
WBGene00019801,aak-1,0.349538368
WBGene00016374,swd-2.2,0.349314813
WBGene00019391,K04F1.12,0.349311798
WBGene00000379,cct-4,0.349075826
WBGene00000387,cdc-25.2,0.348809801
WBGene00004221,ptr-6,0.348649416
WBGene00019388,K04F1.9,0.348630002
WBGene00010456,K01C8.1,0.348607209
WBGene00009723,F45D3.3,0.348443367
WBGene00011276,aakg-5,0.348405255
WBGene00010406,math-33,0.348279494
WBGene00018215,igcm-1,0.347936538
WBGene00012126,T28D6.6,0.347921308
WBGene00009109,F25D1.4,0.347870902
WBGene00016056,C24D10.5,0.347856699
WBGene00008688,F11A10.7,0.347826719
WBGene00004925,snt-5,0.347772866
WBGene00001249,elt-1,0.347720426
WBGene00016888,C52E12.1,0.347693537
WBGene00007386,C06H2.2,0.34730031
WBGene00019341,K02F6.7,0.347184256
WBGene00044411,R12B2.8,0.347182913
WBGene00003733,nhx-5,0.347172034
WBGene00016259,C30F8.3,0.347102675
WBGene00015229,fbxa-125,0.347095047
WBGene00007975,gls-1,0.347046551
WBGene00003633,nhr-43,0.34669967
WBGene00007081,AH6.3,0.346636333
WBGene00008201,C49C3.11,0.346636333
WBGene00201626,F17C11.21,0.346636333
WBGene00001377,eya-1,0.34652265
WBGene00007237,C01G10.10,0.346362642
WBGene00001060,dpf-7,0.346249959
WBGene00009277,F30F8.10,0.346007508
WBGene00016436,C35B1.7,0.345982647
WBGene00009176,F26H9.4,0.345889972
WBGene00000487,C23H5.7,0.345846328
WBGene00001999,hrp-1,0.34528915
WBGene00019888,R05F9.1,0.345284812
WBGene00012259,sulp-7,0.344699827
WBGene00086554,D1081.12,0.344529819
WBGene00018487,F46C8.8,0.344235271
WBGene00004862,sma-9,0.344082437
WBGene00017400,stg-2,0.344061971
WBGene00007312,C04H5.1,0.344023414
WBGene00020208,T04C4.1,0.343901444
WBGene00020254,T05C3.2,0.343681191
WBGene00011329,T01D3.5,0.343156898
WBGene00020557,T19B4.3,0.343051798
WBGene00009118,F25H2.4,0.343010521
WBGene00009664,F43G9.1,0.342942009
WBGene00006754,unc-15,0.342781363
WBGene00008287,C54C6.5,0.342763932
WBGene00019746,M03A1.3,0.342479188
WBGene00002601,let-381,0.342214797
WBGene00007444,C08F8.2,0.342184236
WBGene00003053,lmp-1,0.341933302
WBGene00001586,ggr-1,0.341733467
WBGene00001228,eif-3.E,0.341685865
WBGene00006002,srx-111,0.341672508
WBGene00019943,R07G3.7,0.341610913
WBGene00000187,arl-1,0.341576319
WBGene00003397,mom-5,0.34155787
WBGene00044643,H17B01.5,0.341472264
WBGene00006700,uba-2,0.34135476
WBGene00009661,patr-1,0.341301978
WBGene00003075,lrx-1,0.341277979
WBGene00001537,gcy-11,0.340982969
WBGene00018967,F56D2.6,0.340955661
WBGene00016030,C24A1.3,0.340625886
WBGene00007222,C01F6.2,0.34059206
WBGene00013817,Y116F11A.3,0.340504074
WBGene00015955,C18B2.4,0.340121318
WBGene00002261,ldb-1,0.340070671
WBGene00018767,F53G2.2,0.340058769
WBGene00002282,sym-5,0.339787504
WBGene00001820,ham-1,0.339757009
WBGene00016140,rpb-2,0.339488352
WBGene00011850,T20B3.1,0.339296362
WBGene00005970,srx-79,0.338920302
WBGene00022970,CD4.10,0.338529188
WBGene00011754,T13F3.7,0.338269374
WBGene00018714,F52H2.1,0.338070381
WBGene00003687,nhr-97,0.337858374
WBGene00019643,K11C4.2,0.337523618
WBGene00011488,nra-2,0.337383678
WBGene00003225,mev-1,0.337129572
WBGene00010062,lipl-1,0.336765212
WBGene00018797,F54D7.2,0.336658625
WBGene00015019,B0205.4,0.336635576
WBGene00019983,sti-1,0.336511796
WBGene00015510,C06A6.5,0.336458301
WBGene00002055,ifc-1,0.336438494
WBGene00005299,srh-78,0.336321416
WBGene00003893,ost-1,0.336297282
WBGene00007253,C01H6.3,0.336094951
WBGene00001485,fre-1,0.335691717
WBGene00011957,T23F11.6,0.335597302
WBGene00002039,hum-6,0.335552463
WBGene00009451,cids-2,0.335404113
WBGene00000778,cpn-2,0.334855132
WBGene00011253,R11H6.5,0.334713209
WBGene00021009,afd-1,0.334418785
WBGene00011300,R107.5,0.334313576
WBGene00008996,glb-14,0.334246747
WBGene00003155,mcm-3,0.334196314
WBGene00000550,clu-1,0.334099983
WBGene00010907,M88.4,0.334086435
WBGene00045088,F48A11.7,0.333957056
WBGene00002072,ima-1,0.33387005
WBGene00010899,M28.8,0.333636985
WBGene00015654,srz-77,0.333508094
WBGene00020227,T05A8.1,0.333469895
WBGene00050962,F49A5.11,0.333469895
WBGene00199428,K01A6.16,0.333469895
WBGene00018808,F54D10.7,0.332784752
WBGene00003218,mep-1,0.332551941
WBGene00194681,F40D4.16,0.3324344
WBGene00009260,F30A10.1,0.332390102
WBGene00011251,glb-22,0.332371652
WBGene00008464,E02H4.6,0.332346519
WBGene00013709,csnk-1,0.332256076
WBGene00020930,hlh-30,0.331910907
WBGene00010833,M03B6.1,0.331692105
WBGene00007139,mnp-1,0.33132391
WBGene00003668,nhr-78,0.331244554
WBGene00005060,sra-34,0.331162758
WBGene00015072,srt-69,0.331105888
WBGene00000062,acr-23,0.331099083
WBGene00023472,F16A11.5,0.331057582
WBGene00007347,C05G5.1,0.330895563
WBGene00044467,R05C11.4,0.33087074
WBGene00011538,T06E6.1,0.330703203
WBGene00020759,T24C4.3,0.33066394
WBGene00010515,K02E11.6,0.330558302
WBGene00044321,tag-264,0.330292798
WBGene00010788,sulp-4,0.33026607
WBGene00018427,F44E7.5,0.330230587
WBGene00008234,C50F4.9,0.330199841
WBGene00020051,R13A5.9,0.33017924
WBGene00020967,W03A5.2,0.329995925
WBGene00015644,C09E8.1,0.329983598
WBGene00008362,cfim-2,0.3297106
WBGene00020221,T05A7.3,0.329663309
WBGene00003480,klf-3,0.329595506
WBGene00017695,fip-1,0.329468724
WBGene00017245,F08D12.1,0.329444522
WBGene00001092,dro-1,0.329172817
WBGene00002254,lbp-2,0.329139775
WBGene00011827,T19A6.1,0.329077791
WBGene00016304,fbxc-41,0.328627737
WBGene00006352,sur-6,0.328526793
WBGene00008998,F21A10.1,0.328314754
WBGene00018036,F35C8.5,0.328276291
WBGene00019896,R05G6.1,0.328088289
WBGene00016236,C29H12.5,0.327751014
WBGene00002344,let-70,0.327368483
WBGene00016961,vps-32.1,0.327332595
WBGene00010433,H40L08.1,0.3272466
WBGene00077658,M106.8,0.327242322
WBGene00008710,F11E6.7,0.327184476
WBGene00004305,ran-4,0.327177285
WBGene00012097,abcf-2,0.326998662
WBGene00010697,uda-1,0.326881961
WBGene00019697,M01B12.4,0.326821809
WBGene00013672,catp-1,0.3266656
WBGene00020146,T01C8.5,0.326573695
WBGene00007777,C27D8.1,0.326564034
WBGene00005111,srd-33,0.326522696
WBGene00012423,Y10G11A.1,0.326370338
WBGene00001484,fox-1,0.3263698
WBGene00023281,F39E9.8,0.326369298
WBGene00009647,F43C1.1,0.326348419
WBGene00000182,arf-1.2,0.326333283
